url,hash,content-type,length,isFetch
"https://moha.gov.vn/Admin_Resources/assets/global/plugins/jquery.blockui.min.js","1562ef5e592b67d9a95a9a3f7c2a05442a7e0f7b492dd0a56e43fea9acefe627","application/javascript","9569","false"
"https://moha.gov.vn/Admin_Resources/assets/global/plugins/js.cookie.min.js","7d97491a3d294629a353bacd88442498b5f4609aef01afbed6277da906b8ed7f","application/javascript","1738","false"
"https://moha.gov.vn/Admin_Resources/assets/global/plugins/jquery-slimscroll/jquery.slimscroll.min.js","6e13ca9248b431e3be16a43100185e8e3a3311001154d73c30ddbcce1a4d5d94","application/javascript","5175","false"
"https://moha.gov.vn/Admin_Resources/assets/global/plugins/bootstrap-switch/js/bootstrap-switch.min.js","b009172f00c548007f4b4f4908e591be7a0e9e11980eef55a8c9db08a0213332","application/javascript","14903","false"
"https://moha.gov.vn/Publishing_Resources/BoNoiVu/assets/images/noi-vu/icon-phone.png","80f667eeb2f986814a1357d65041eeae8064cd75476913d8b01a7c7067210f6e","image/png","681","false"
"https://moha.gov.vn/Publishing_Resources/img/icon/brightness.png","7d56d0a5408d43bbef2fc32d6366edbb4b424935c7c83540013d2e9bb1bdd27d","image/png","12047","false"
"https://moha.gov.vn/Publishing_Resources/BoNoiVu/assets/images/noi-vu/icon-gmail.com.png","e92120ad4d65de083941c3c8cc824053a12d81d88645936ef2f703dc21dea2f8","image/png","433","false"
"https://moha.gov.vn/Publishing_Resources/BoNoiVu/assets/images/noi-vu/background-head.png","8e8cdc475d7d8e0a3d329a1acefcfcf3c2f909badd1f040a70d3829b4cfcb0b2","image/png","387858","false"
"https://moha.gov.vn/Publishing_Resources/BoNoiVu/assets/images/noi-vu/icon-arrow-top.png","f7e6301b78c95532d8a14d10f866368fed01bb6d5cdb340ac5889f741f5feb8d","image/png","301","false"
"https://moha.gov.vn/Publishing_Resources/BoNoiVu/assets/images/noi-vu/icon-messge.png","c5097fcc4c019ab425b35e4c3079c77560433cd56df2eb4de0dba97cd3214f46","image/png","672","false"
"https://moha.gov.vn/Publishing_Resources/BoNoiVu/assets/images/noi-vu/bg-high.png","d74ebe0a4b1833a33a296764a72f1c19d7d1a0d6ff9c2237c2c964e567478105","image/png","13711","false"
"https://www.googletagmanager.com/gtag/js?id=G-ZP9NW01N62","1487a557f2e7ffe4cd23d3d309a44989a894576ca4863a53f8f39582a3fd7f36","application/javascript; charset=UTF-8","288783","false"
"https://f-emc.ngsp.gov.vn/embed/gov-tracking.min.js","c70ae58f9ce8d25f788dc0acd8388903268e34d26a78b7d26915eee978fb6e2f","application/javascript","90329","false"
"https://moha.gov.vn/Media_Share/BoNoiVu/PublishingImages/TinTuc/AnhDaiDien/2024/2/19-16-10-28-02-2024-IMG_0098.JPG","083fa9afcfececd028434dab81d8a13207ba92d886d3303af0b6e40ab4bfa297","image/jpeg","435831","false"
"https://moha.gov.vn/Publishing_Resources/BoNoiVu/assets/images/noi-vu/icon_login_custom.png","b370b541a36de6c685fee3e5a4087e32e61e6f43bf2480f30f60ffa4895fcba6","image/png","3035","false"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAANCAYAAACgu+4kAAAACXBIWXMAAAsTAAALEwEAmpwYAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAKeSURBVHgBhVJbSJNhGH6/7z9s/07mllvSby7JPBLVWHiiA6UUgV55ZbsJIrvzoouIuogiKCjopiCQMrwoTSExoRoGUwlEy+mFHbBp6qaba266/XP/4ev/ZXYAoQcevo+X533f73vfB8F2ODNgMVCchzC4ATBdATrKjmmaAEP7EQ3d+tDc05W+pjVNiv7NJMhQP3BRwewtoGgbMCQJa7OvlPT8JCKQBmtBAW0rcmNuR0qOTJ1P9XpCfwpUd1mPFi33nyj5Wn2Y/w7RUbRy2xtsCwT8Gbvp0ClEm8Rw3P9CkmIzumM3XLSzpiTZUf9gs0Cwp6xwNpH7rowPF6/HdeC9Xwi+meC1zpXAcnHhpYcteRJjhAy8XrdsjM29bYutjz4BC2+ExIKAo537eJZI/aXWSHE6ToGvYxckIzjpjc8Ome0NFzwOkWlF76GF9sFl87TO4ahqU3tqyTH13MCyTN0DCVUSCcHnkR0QnjYCpSiJ+fTqkpBfufcADgB7ZBUMzWEoTX8DdQ68mshnP67gQb94PZVipkmGQGDcAnp1WiaMbbt1ZpDk0KS34DiIn8wg9O4EX34dLHHJkNZ5a3TUyw+xWJ6JGnTauIMzI/Y9rITBAIRyc7ZI35ee9gl9VeOEs8notbnhcYpdjE09u0uS0Y9d5eVidyQib20Be2pz+Yqg+yZPsR4TUZBRgcyqkDjXvDQ8hY18I+g5RokGxmtZy/wjU0WNKIHgSgw9/9sH2j3nCu8+66KtV/MJKjOKMugE0SfImeE0UWgLpvezmCpdkAXvycToHVUfRtv4kOGAc7RanHW1dM5pp0y5WIRzMkT5uaikx/o2Im/aMz8mVN2iyhSC7aHFGZUm7VUquWw8qTKhUrOxtCX8H3CWm2vL8jd+AX3nDRFsNigEAAAAAElFTkSuQmCC","bee656a1884c777ea99c42ef851060eebfaa3db3a190bdde883b68b8b3ef7bfc","image/png","777","false"
