"algorithm","name","n-gram","percision","recall","acc","FailAlarm","TP","FP","TN","FN"
"RandomForest","index.html","2","0.9583333333333334","1.0","0.98","0.037037037037037035","46","2","52","0"
"NaiveBayes","index.html","2","0.9111111111111111","0.8913043478260869","0.91","0.07407407407407407","41","4","50","5"
"RandomForest","index.html","3","0.9361702127659575","1.0","0.9696969696969697","0.05454545454545454","44","3","52","0"
"NaiveBayes","index.html","3","0.9555555555555556","0.9772727272727273","0.9696969696969697","0.03636363636363636","43","2","53","1"
"RandomForest","index_loaded.html","2","0.9795918367346939","1.0","0.99","0.019230769230769232","48","1","51","0"
"NaiveBayes","index_loaded.html","2","0.9555555555555556","0.8958333333333334","0.93","0.038461538461538464","43","2","50","5"
"RandomForest","index_loaded.html","3","0.9795918367346939","1.0","0.99","0.019230769230769232","48","1","51","0"
"NaiveBayes","index_loaded.html","3","0.9534883720930233","0.8541666666666666","0.91","0.038461538461538464","41","2","50","7"
"RandomForest","text_only_index_loaded.html.txt","2","1.0","1.0","1.0","0.0","46","0","54","0"
"NaiveBayes","text_only_index_loaded.html.txt","2","1.0","1.0","1.0","0.0","46","0","54","0"
"RandomForest","text_only_index_loaded.html.txt","3","1.0","1.0","1.0","0.0","40","0","56","0"
"NaiveBayes","text_only_index_loaded.html.txt","3","1.0","1.0","1.0","0.0","40","0","56","0"
