url,hash,content-type,length,isFetch
"https://haiphong.gov.vn//themes/haiphong/uifooter/default.css?v=23","261d8b4cab96c8eac28cf956e2d772195f7bc71045aa9bd5676194b4a7ac4f09","text/css","1350","false"
"https://haiphong.gov.vn/DesktopModule/UIDropdownMenu/DropdownMenu.js","5bb9a063d9a34094aa77df55d03b34f6dd9c91a3355b27c455267a4b08d13d1a","application/javascript","1549","false"
"https://haiphong.gov.vn/WebResource.axd?d=pynGkmcFUV13He1Qd6_TZHmc54GjkPIBPE3aYr121JaS6QNLXu5o60ZdoLBPj6wBzTtgKMpeE-SRgFu11gHyCg2&t=638393501798026697","40732e9dcfa704cf615e4691bb07aecfd1cc5e063220a46e4a7ff6560c77f5db","application/x-javascript","23063","false"
"https://haiphong.gov.vn/DesktopModule/UIUtilityControls/UIAdvertisement/Advertisement.js","537b68006b14ce4cc6b6cc2ece71a04b920650ea915c2838b0485c01e9258c63","application/javascript","2509","false"
"https://haiphong.gov.vn/ScriptResource.axd?d=NJmAwtEo3Ipnlaxl6CMhvrtdl6wXU7z-B4TFmUuJMvZupGoWJ6a0IoyZ7L7Xxj-fhA6jeZUBAbfMEGnbzrIlr71c5Mhb1QYnKSVWs0P6Lx5n1rpSqVp3PvPYlwDTUkAXheV3hwwXTziHjPgDuOBkrZIezL6VoBfwSpq8nX3dplU1&t=511fa37d","66b804e7a96a87c11e1dd74ea04ac2285df5ad9043f48046c3e5000114d39b1c","application/x-javascript","102801","false"
"https://haiphong.gov.vn/ScriptResource.axd?d=dwY9oWetJoJoVpgL6Zq8OBXJWSKKxukoimrSwLEzvXw19i0lGszHKxHMlBDKVXxJx-SjoMZjQH_7-hKD5aPGFYHIgRxMVPbMfA4ClS7F2paEL-QoXiiXgrY1oA3lEhjvcNiDqphvsmhvLMpcUZyZ3f01nt_4Q6Ii76xBFryJQlw1&t=511fa37d","398cdf1b27ef247e5bc77805f266bb441e60355463fc3d1776f41aae58b08cf1","application/x-javascript","40326","false"
"https://haiphong.gov.vn/ScriptResource.axd?d=TDVjdgRbdvNAY3tnbizUcKn0sJ2x-j9wYJYYSASRLyk5x-buXAVGdzRDb95q1x6lbcF16YIU0jFS-5Ikb5q3yyn8OlYt4_IMyKmZd53NPQZyTkSvfg8UeLjjTxVuqKDU0&t=ffffffffdb75e8fc","bbe7f6366927f2b77451fedff2cb48e2b8d690fe8182b15a3c16a02d7852af30","text/javascript","68750","false"
"https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta2/css/all.min.css","81735261671cd094376ce5c6d31058c64fa70ad0f3b0798ffce2f2d8eeb7ab51","text/css; charset=utf-8","82023","false"
"https://f-emc.ngsp.gov.vn/embed/gov-tracking.min.js","c70ae58f9ce8d25f788dc0acd8388903268e34d26a78b7d26915eee978fb6e2f","application/javascript","90329","false"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAANCAYAAACgu+4kAAAACXBIWXMAAAsTAAALEwEAmpwYAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAKeSURBVHgBhVJbSJNhGH6/7z9s/07mllvSby7JPBLVWHiiA6UUgV55ZbsJIrvzoouIuogiKCjopiCQMrwoTSExoRoGUwlEy+mFHbBp6qaba266/XP/4ev/ZXYAoQcevo+X533f73vfB8F2ODNgMVCchzC4ATBdATrKjmmaAEP7EQ3d+tDc05W+pjVNiv7NJMhQP3BRwewtoGgbMCQJa7OvlPT8JCKQBmtBAW0rcmNuR0qOTJ1P9XpCfwpUd1mPFi33nyj5Wn2Y/w7RUbRy2xtsCwT8Gbvp0ClEm8Rw3P9CkmIzumM3XLSzpiTZUf9gs0Cwp6xwNpH7rowPF6/HdeC9Xwi+meC1zpXAcnHhpYcteRJjhAy8XrdsjM29bYutjz4BC2+ExIKAo537eJZI/aXWSHE6ToGvYxckIzjpjc8Ome0NFzwOkWlF76GF9sFl87TO4ahqU3tqyTH13MCyTN0DCVUSCcHnkR0QnjYCpSiJ+fTqkpBfufcADgB7ZBUMzWEoTX8DdQ68mshnP67gQb94PZVipkmGQGDcAnp1WiaMbbt1ZpDk0KS34DiIn8wg9O4EX34dLHHJkNZ5a3TUyw+xWJ6JGnTauIMzI/Y9rITBAIRyc7ZI35ee9gl9VeOEs8notbnhcYpdjE09u0uS0Y9d5eVidyQib20Be2pz+Yqg+yZPsR4TUZBRgcyqkDjXvDQ8hY18I+g5RokGxmtZy/wjU0WNKIHgSgw9/9sH2j3nCu8+66KtV/MJKjOKMugE0SfImeE0UWgLpvezmCpdkAXvycToHVUfRtv4kOGAc7RanHW1dM5pp0y5WIRzMkT5uaikx/o2Im/aMz8mVN2iyhSC7aHFGZUm7VUquWw8qTKhUrOxtCX8H3CWm2vL8jd+AX3nDRFsNigEAAAAAElFTkSuQmCC","bee656a1884c777ea99c42ef851060eebfaa3db3a190bdde883b68b8b3ef7bfc","image/png","777","false"
